macroarea	concept_id	token_idx	concept_name	token	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances
Africa	38	44.0	ear	w	2111.6353282657137	38.0	5.1876754838982	5.178421311024831	0.009254172873369612	-0.005221040528734008	4	0.0	100000	564
Africa	38	45.0	ear	x	3630.2748447204967	38.0	6.933580286137559	6.905558577729061	0.028021708408497905	0.0031369835887381436	4	0.00157	100000	43
Africa	38	46.0	ear	y	3309.62525872641	38.0	5.731513495805141	5.69741811558673	0.034095380218409944	0.0035639161332638083	4	0.05079	100000	195
Africa	38	47.0	ear	z	3278.414015878215	38.0	8.9564814901671	8.768852725685049	0.18762876448205043	0.01905605882327457	4	0.0	100000	130
Africa	38	48.0	ear	~	1617.3423063973062	38.0	3.531366702443622	3.7364208491991966	-0.20505414675557448	-0.04146634368947636	4	0.18543	100000	313
Africa	39	2.0	eye	EOW	2073.654308876742	39.0	1.5392830540228488	1.5462463134229791	-0.006963259400130165	-0.003107578270109343	4	1.0	100000	3625
Africa	39	3.0	eye	 	4346.125	39.0	7.955686256289482	7.942485521237055	0.013200735052426693	0.000587165316997925	4	0.58369	100000	17
Africa	39	7.0	eye	*	2878.8516167870657	39.0	6.086986989880521	5.839762896687569	0.24722409319295316	0.037377248528828684	4	4e-05	100000	109
Africa	39	8.0	eye	3	3858.7080792682927	39.0	4.753206682495846	4.827293120648574	-0.07408643815272706	-0.018208445153131844	4	1.0	100000	188
Africa	39	10.0	eye	5	2318.2634555738005	39.0	7.442361365543159	7.410744959628185	0.03161640591497577	0.0033288347057479815	4	0.52413	100000	180
Africa	39	11.0	eye	7	2764.9851190476193	39.0	6.56078427249477	6.418107536435127	0.14267673605964298	0.02129430664093026	4	0.00853	100000	80
Africa	39	12.0	eye	8	1512.5425	39.0	9.790850973129272	9.762986536026002	0.027864437103271432	0.0027795925392083047	4	0.00122	100000	34
Africa	39	13.0	eye	C	3089.858922558922	39.0	6.8026106534582205	6.662316086316348	0.14029456714186997	0.01871045838081587	4	0.0	100000	84
Africa	39	14.0	eye	E	2494.3843210360174	39.0	6.378996471012419	6.380976737456058	-0.0019802664436394495	-0.00887029023403363	4	1.0	100000	269
