language_id	macroarea	item_id	concept_id	Latitude	Longitude	family_size	length	none	onehot	mi-onehot	unc-onehot	iso_code	p_value	n_permutations	n_concepts
6903	Americas	217529.27027027027	48.486486486486484	-9.0	-71.75	1432.0	5.864864864864865	4.1701948648648655	4.118090597297297	0.052104299528108106	0.012252118468648649	ywn	0.002146	1000000	37
6904	Americas	218754.18644067796	48.91525423728814	-11.0	-70.0	1432.0	5.88135593220339	3.5008525915254243	3.513502001694916	-0.01264940283559322	-0.00460177114779661	mcd	0.80119	1000000	59
6905	Americas	216218.46153846153	48.30769230769231	-12.759999999999994	-74.86999999999993	2473.0	5.358974358974359	3.7690535179487177	3.7214952358974336	0.04755826474769231	0.011462844355641025	quy	0.005204	1000000	39
6906	Americas	228246.10638297873	51.02127659574468	-9.579999999999997	-77.21000000000002	2473.0	5.404255319148936	3.837564521276597	3.831777291489362	0.005787225523404254	-4.559731489361855e-05	qxo	0.388382	1000000	47
6907	Americas	212383.43243243243	47.37837837837838	-7.150000000000003	-78.67000000000003	2473.0	5.297297297297297	3.7271831189189193	3.7147308891891884	0.012452228297297288	0.002316563567567566	qvc	0.281662	1000000	37
6908	Americas	222110.175	49.625	-15.129999999999999	-68.98999999999994	2473.0	5.4	3.7200770424999994	3.7002691249999993	0.019807910928999993	0.00444322035675	qul	0.136138	1000000	40
6909	Americas	215515.79545454544	48.25	-13.519999999999992	-71.98	2473.0	5.5227272727272725	3.6715977500000005	3.644962838636363	0.0266349050490909	0.006326882176590911	quz	0.060164	1000000	44
6910	Americas	233684.45454545456	52.20454545454545	-9.81	-76.23999999999991	2473.0	5.386363636363637	3.711860263636365	3.7029025568181813	0.008957699813636352	0.0008200736750000006	qub	0.312059	1000000	44
6911	Americas	212432.2142857143	47.285714285714285	-6.240000000000004	-79.32000000000004	2473.0	5.333333333333333	3.83378363095238	3.7949346285714283	0.03884902421809524	0.0074226829959523795	quf	0.048877	1000000	42
6912	Americas	215730.54054054053	48.027027027027025	-12.350000000000007	-75.78999999999998	2473.0	5.351351351351352	3.712432116216216	3.6869407297297285	0.025491398521621612	0.005932447783783782	qux	0.112894	1000000	37
6913	Americas	222898.51162790696	49.81395348837209	-19.049999999999986	-65.42999999999999	2473.0	5.534883720930233	3.703368109302326	3.6729203255813943	0.03044778278046511	0.0075062733411627915	quh	0.053841	1000000	43
6914	Americas	220728.9512195122	49.34146341463415	-17.580000000000002	-65.5	2473.0	5.512195121951219	3.825476836585366	3.8071593487804867	0.01831749062341463	0.004507309601707318	quh	0.177099	1000000	41
6915	Americas	221839.64102564103	49.61538461538461	-15.830000000000004	-70.02	2473.0	5.384615384615385	3.670995766666666	3.65109852051282	0.019897235157948712	0.0048689634556410245	qxp	0.144252	1000000	39
6916	Americas	214509.8275862069	48.13793103448276	-9.050000000000004	-77.80999999999996	2473.0	5.241379310344827	3.628851282758621	3.6602074068965513	-0.03135612910344829	-0.00849489477586207	qwh	0.897205	1000000	29
6917	Americas	217877.62857142856	48.57142857142857	-1.0900000000000005	-77.92999999999999	2473.0	5.285714285714286	3.475206862857142	3.485686745714286	-0.01047985887828572	-0.0024241264080000005	quw	0.691105	1000000	35
6918	Americas	224346.68292682926	50.146341463414636	-15.76999999999999	-69.67999999999999	2473.0	5.463414634146342	3.7047719487804875	3.6898750951219497	0.014896852418536584	0.0032404073968292668	qxp	0.201943	1000000	41
6919	Americas	216676.5	48.30555555555556	-1.8400000000000019	-78.73	2473.0	5.416666666666667	3.496371658333333	3.51742515	-0.021053473148333342	-0.005163879998055556	qug	0.858021	1000000	36
6920	Americas	218264.94736842104	48.71052631578947	-8.620000000000003	-77.86999999999993	2473.0	5.184210526315789	3.724516326315789	3.7206418789473674	0.0038744212526315817	0.000258990218421054	qwa	0.427993	1000000	38
6921	Americas	219345.64102564103	48.82051282051282	-17.0	-69.0	366.0	6.205128205128205	3.612972053846153	3.5726213256410255	0.040350737234871786	0.009954769386410255	ayc	0.021205	1000000	39
6922	Americas	216308.36585365853	48.31707317073171	-13.0	-76.0	366.0	5.926829268292683	3.5897818024390222	3.5641945097560965	0.025587303327073176	0.006517882748780486	jqr	0.077847	1000000	41
6923	Americas	225612.8780487805	50.26829268292683	-13.0	-76.0	366.0	5.829268292682927	3.5650270390243897	3.551048495121951	0.01397855157097561	0.00357649454390244	jqr	0.224458	1000000	41
6924	Americas	219350.20512820513	48.82051282051282	-17.0	-69.0	366.0	6.17948717948718	3.555183361538461	3.5165090076923073	0.03867437332564101	0.009476402119743588	ayr	0.026294	1000000	39
6925	Americas	221659.125	49.375	-17.0	-69.0	366.0	6.05	3.5984121724999993	3.5572696074999994	0.041142577424999986	0.010070551597499998	ayr	0.017443	1000000	40
6926	Americas	191006.0625	42.9375	-0.91	-59.899999999999984	16.0	4.4375	3.7400099625000003	3.7031040875000003	0.03690584119374999	0.008656469906249999	tdm	0.21043	1000000	16
6927	Americas	218995.61363636365	48.84090909090909	-15.5	-65.0	2419.0	5.681818181818182	3.8549197227272725	3.8293200772727274	0.025599642627272722	0.004826006670454547	trn	0.096913	1000000	44
6928	Americas	212595.93103448275	47.10344827586207	-4.0	-73.5	2162.0	5.0	3.458152337931034	3.4267140068965514	0.03143835127586207	0.009525753693103448	omg	0.208136	1000000	29
6929	Americas	205098.13636363635	45.54545454545455	1.0	-52.0	2162.0	5.863636363636363	3.9251352166666678	3.8926671015151517	0.032468116181818184	0.007495154639393939	oym	0.03519	1000000	66
6930	Americas	218346.06451612903	48.774193548387096	-19.5	-42.5	31.0	6.0	3.6419815677419356	3.633715474193548	0.008266103225806452	0.0020456780096774186	prr	0.349832	1000000	31
6931	Americas	215450.5625	48.447916666666664	-11.0	-66.0	1432.0	6.114583333333333	3.9670361677083346	3.9461007458333346	0.02093542595104167	0.0038747953799687495	ese	0.029585	1000000	96
6932	Americas	229119.27906976745	51.116279069767444	-19.0	-68.40000000000005	133.0	5.6976744186046515	4.223593302325581	4.219178730232557	0.004414585634883719	0.0007505651258139528	cap	0.437993	1000000	43
6933	Africa	201052.44444444444	46.28888888888889	8.600000000000005	34.59999999999998	2481.0	5.333333333333333	3.646185755555556	3.620998453333333	0.025187301633333332	0.006955451568888887	myo	0.021563	1000000	45
6934	Africa	165366.5	38.42857142857143	7.769999999999997	38.13999999999999	18274.0	4.785714285714286	4.330524585714286	4.327014992857142	0.003509571928571429	0.0006341786285714282	stv	0.464876	1000000	14
6935	Africa	167825.8	39.0	37.22000000000001	67.33000000000001	18274.0	5.0	4.1855865266666665	4.16664858	0.018937921233333325	0.005505110106666667	abh	0.174369	1000000	15
6936	Africa	217193.0105263158	50.126315789473686	2.5	26.5	6234.0	6.5473684210526315	3.515525417894737	3.532718510526315	-0.017193096635294745	-0.005194662315763157	mdj	0.99047	1000000	95
6937	Africa	239803.3125	55.475	7.190000000000005	-6.310000000000001	7728.0	5.175	3.693087298750001	3.7470659887499993	-0.053978693405	-0.015674772577499996	goa	0.99984	1000000	80
