	concept_id	concept_name	language_id	length	none	onehot	mi-onehot	unc-onehot	p_value	n_permutations	alphas	significant-0.01	significant-0.05	significant-0.10
24	24	leaf	4123.798675344147	5.96464581348252	3.927458611857321	3.920179601447306	0.0072790054073217	0.0005040267653816	0.02378	100000	0.01, 0.05, 0.1	False	False	True
68	68	stand	4424.649498499928	6.50090085179491	4.092172153677552	4.077732175277873	0.0144399838978318	0.0015766721062382	0.0241	100000	0.01, 0.05, 0.1	False	False	True
85	85	mountain	4022.378417928747	5.94174988614977	3.858111330578612	3.851118007989044	0.0069933186023582	0.0005733542949544	0.04189	100000	0.01, 0.05, 0.1	False	False	False
72	72	moon	4440.744080843384	5.914296937630216	3.895586996956357	3.887249085981086	0.008337914914698	0.001049124515391	0.05816	100000	0.01, 0.05, 0.1	False	False	False
61	61	kill	4505.152121035942	6.290834429110369	4.037224878749614	4.029512311995175	0.0077125683744686	0.0003596303848162	0.07026	100000	0.01, 0.05, 0.1	False	False	False
63	63	fly	4275.029247810261	6.472144125054676	3.995765420227884	3.985929613582972	0.0098357922000869	0.0011727639902183	0.07352	100000	0.01, 0.05, 0.1	False	False	False
31	31	grease	4334.860321483422	6.130288267270464	3.9461416247276873	3.9369893422514233	0.0091522880375837	0.0002991926698778	0.07977	100000	0.01, 0.05, 0.1	False	False	False
30	30	bone	4139.046574679955	5.549238974829426	3.895732095222319	3.889867472723573	0.005864631237203	3.07042608213967e-05	0.08019	100000	0.01, 0.05, 0.1	False	False	False
35	35	feather	4214.448258019491	6.2788769538824765	3.979908339413624	3.97244417067914	0.0074641683323464	0.0006340737201524	0.08448	100000	0.01, 0.05, 0.1	False	False	False
18	18	fish	4114.096017283944	5.657088214903454	3.917600981045523	3.913583475416128	0.0040175064041922	-2.4148812212948685e-05	0.09267	100000	0.01, 0.05, 0.1	False	False	False
70	70	say	4122.864122081214	5.285957415909019	3.883512397709282	3.872388218215084	0.0111241785334436	0.0037225706355975	0.09401	100000	0.01, 0.05, 0.1	False	False	False
83	83	burn	4275.629949933415	6.037227553766538	3.970566242718918	3.963602623321746	0.0069636291457602	0.0004740823165299	0.09435	100000	0.01, 0.05, 0.1	False	False	False
92	92	hot	4397.469198242263	6.189415624217121	3.928018868462365	3.920152935813855	0.0078659406235461	0.000762068035159	0.10171	100000	0.01, 0.05, 0.1	False	False	False
76	76	stone	4093.750168241816	5.487294673189725	3.828731524630874	3.822973418053509	0.005758109146525	0.0008257144121443	0.11272	100000	0.01, 0.05, 0.1	False	False	False
25	25	root	4393.924531294526	6.305070013334747	3.970421291227445	3.9622802190099975	0.0081410769053949	0.000123687871056	0.14229	100000	0.01, 0.05, 0.1	False	False	False
62	62	swim	4129.487072793322	6.908577098380741	4.081624510943844	4.074074798788281	0.0075497052375069	-0.0012916881468763	0.19931	100000	0.01, 0.05, 0.1	False	False	False
90	90	black	4409.0981496600825	6.389994264907317	3.91186315511849	3.905941441457496	0.0059217112618212	0.0005969787960557	0.20341	100000	0.01, 0.05, 0.1	False	False	False
67	67	sit	4599.946549939337	6.084851308003215	3.974000034585466	3.9683135917709738	0.0056864416784462	-0.0005194610517103	0.21396	100000	0.01, 0.05, 0.1	False	False	False
38	38	ear	4151.313027531501	5.972299019024349	3.897826566236673	3.8952868459289194	0.0025397206802184	-0.0004331140166485	0.2369	100000	0.01, 0.05, 0.1	False	False	False
7	7	not	3713.326162674103	4.762731568723664	3.731720022171974	3.722081188334383	0.0096388202218261	0.0028555626128246	0.26453	100000	0.01, 0.05, 0.1	False	False	False
69	69	give	4379.529967848112	5.264968631832093	3.9045392682515807	3.9003449081767134	0.0041943588034992	0.0009821007995754	0.27007	100000	0.01, 0.05, 0.1	False	False	False
33	33	horn	4036.904470750703	6.01747292390059	3.950735111656792	3.947787583736771	0.0029475263265072	0.0001659910603215	0.28895	100000	0.01, 0.05, 0.1	False	False	False
56	56	see	4015.395934520414	5.312933088089521	3.843839048629937	3.8422169745585375	0.0016220785355467	9.572188354352862e-05	0.31709	100000	0.01, 0.05, 0.1	False	False	False
64	64	walk	4373.291356228507	6.036071101959955	3.943927687037293	3.941833139357649	0.0020945521204275	-0.0011084041779688	0.35792	100000	0.01, 0.05, 0.1	False	False	False
36	36	hair	4320.382417522887	6.152300531919749	3.946527396064203	3.9447143713941015	0.0018130229782036	-0.0006942301379753	0.38734	100000	0.01, 0.05, 0.1	False	False	False
55	55	bite	4362.664040780495	6.145719452601033	3.9212824759244898	3.9199689055437874	0.0013135593684784	-0.0012181211475646	0.39817	100000	0.01, 0.05, 0.1	False	False	False
9	9	many	4417.57512882443	6.311539195056773	3.861552635367235	3.8595959925983534	0.0019566330666763	-0.0012928597181528	0.40181	100000	0.01, 0.05, 0.1	False	False	False
