concept_name	token	concept_id	token_idx	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances	significant-0.01	significant-0.05	significant-0.10
knee	L	46.0	16.0	4616.2148239991	46.0	8.439750713333051	8.218583775114165	0.22116693821888594	0.02621626845116625	4.0	0.2257025	100000.0	126	False	False	False
knee	N	46.0	17.0	4214.743422376933	46.0	6.066910044717193	5.889806761580214	0.17710328313697787	0.02819945648154845	4.0	0.0001275	100000.0	1042	True	True	True
knee	S	46.0	18.0	3800.6595334679178	46.0	7.684831532449254	7.46215888042941	0.2226726520198429	0.02920514439396565	4.0	0.0701325	100000.0	253	False	False	False
knee	T	46.0	19.0	4106.2433163265305	46.0	8.442850518534783	8.321396310442971	0.12145420809181368	0.008642857571204459	4.0	0.191035	100000.0	70	False	False	False
knee	X	46.0	20.0	4551.956818181818	46.0	9.500371933525258	9.219051429539016	0.28132050398624303	0.028418162174612474	4.0	0.1464475	100000.0	44	False	False	False
knee	Z	46.0	21.0	4212.156135531135	46.0	9.78110857262639	9.447598827306475	0.33350974531991545	0.03321052172189775	4.0	0.4135825	100000.0	67	False	False	False
knee	a	46.0	22.0	4262.008065014975	46.0	2.7674284516057925	2.9338420154864258	-0.16641356388063389	-0.07992966444066724	4.0	1.0	100000.0	3504	False	False	False
knee	b	46.0	23.0	4462.637767814722	46.0	5.87340814338822	5.5361151842818614	0.33729295910635915	0.05695147377711225	4.0	0.0	100000.0	1566	True	True	True
knee	c	46.0	24.0	3781.55745202695	46.0	7.401349414529225	7.334868753243471	0.06648066128575306	0.004412935836349153	4.0	0.2991425	100000.0	204	False	False	False
knee	d	46.0	25.0	4344.041756139097	46.0	5.787891382248053	5.543055106399505	0.24483627584854828	0.040887849072695326	4.0	0.0	100000.0	892	True	True	True
knee	e	46.0	26.0	4228.815030156726	46.0	4.070285866317415	4.227394384059869	-0.1571085177424531	-0.04569697621107223	4.0	0.75	100000.0	1280	False	False	False
knee	f	46.0	27.0	4247.775555693292	46.0	7.1599445134671	6.80236925225856	0.3575752612085406	0.04805759288392603	4.0	0.065335	100000.0	210	False	False	False
knee	g	46.0	28.0	4219.7356487260295	46.0	6.047887477658523	5.669022620470201	0.37886485718832197	0.06509216059184239	4.0	0.0	100000.0	1431	True	True	True
knee	h	46.0	29.0	3992.0221210521577	46.0	5.922832083284412	5.856853846398679	0.06597823688573377	0.0064657567251348745	4.0	0.25165	100000.0	900	False	False	False
knee	i	46.0	30.0	4175.110842104694	46.0	3.210844052064054	3.265763696879226	-0.05491964481517185	-0.023988898362074126	4.0	0.8120350000000001	100000.0	2882	False	False	False
knee	j	46.0	31.0	4537.268610717223	46.0	7.92578640776538	7.861182213447209	0.0646041943181723	0.003272579029534775	4.0	0.399115	100000.0	230	False	False	False
knee	k	46.0	32.0	4110.693769561619	46.0	4.42756102908606	4.103544102275106	0.32401692681095395	0.07634099971430225	4.0	0.0	100000.0	3105	True	True	True
knee	l	46.0	33.0	4179.691032303603	46.0	5.213191228811792	5.056859696953952	0.15633153185784043	0.028428851613024348	4.0	0.2442175	100000.0	1433	False	False	False
knee	m	46.0	34.0	4254.850954743286	46.0	4.348645999310247	4.160587819227096	0.18805818008315128	0.039725132293033746	4.0	0.0	100000.0	1349	True	True	True
knee	n	46.0	35.0	4184.288483156102	46.0	4.175560707588501	4.16138147219444	0.014179235394060224	-0.0065618566792943	4.0	0.75	100000.0	2246	False	False	False
knee	o	46.0	36.0	4110.324558380136	46.0	3.618682414252974	3.430723232871758	0.18795918138121553	0.05192809617407587	4.0	0.0	100000.0	3519	True	True	True
