,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
2021,MOKENGUI_BOMITABA,Africa,1.67,17.5,NA,zmx,NA,Atlantic-Congo
2022,MOKPWE,Africa,4.25,9.35,NA,bri,NA,Atlantic-Congo
2023,MONGO,Africa,0,21,NA,lol,NA,Atlantic-Congo
2024,MONGO_LOSAKANI_NTOMBA,Africa,0,21,NA,lol,NA,Atlantic-Congo
2025,MONGO_OPALA,Africa,0,21,NA,lol,NA,Atlantic-Congo
2026,MONYONGO,Africa,2.64,19.21,NA,ngc,NA,Atlantic-Congo
2027,MOUNDA_DIBOLE,Africa,1.08,17.25,NA,bvx,NA,Atlantic-Congo
2028,MPE,Africa,-3,18,NA,skt,NA,Atlantic-Congo
2029,MPIEMO,Africa,3.5,15.7,NA,mcx,NA,Atlantic-Congo
2030,MPIIN_1,Africa,-5.17,19.33,NA,zmp,NA,Atlantic-Congo
2031,MPONDO,Africa,-32,27,NA,xho,NA,Atlantic-Congo
2032,MPONDOMISE,Africa,-32,27,NA,xho,NA,Atlantic-Congo
2033,MPONGWE,Africa,-1.25,9.5,NA,mye,NA,Atlantic-Congo
2034,MPOTO,Africa,-11.25,34.75,NA,mpa,NA,Atlantic-Congo
2035,MPOTO_2,Africa,-11,34.6,NA,mpa,NA,Atlantic-Congo
2036,MPUONO,Africa,-5.17,19.33,NA,zmp,NA,Atlantic-Congo
2037,MPUONO_2,Africa,-5,19.4,NA,zmp,NA,Atlantic-Congo
2038,MPUONO_3,Africa,-5,19.4,NA,zmp,NA,Atlantic-Congo
2039,MPUT_1,Africa,-3.83,18,NA,yns,NA,Atlantic-Congo
2040,MPUT_2,Africa,-3.83,18,NA,yns,NA,Atlantic-Congo
2041,MPUT_3,Africa,-3.83,18,NA,yns,NA,Atlantic-Congo
2042,MPUTU,Africa,-4.3,18.8,NA,yns,NA,Atlantic-Congo
2043,MPUTU_2,Africa,-4.3,18.8,NA,yns,NA,Atlantic-Congo
2044,MPYEMO_1,Africa,3.5,15.67,NA,mcx,NA,Atlantic-Congo
2045,MPYEMO_2,Africa,3.5,15.67,NA,mcx,NA,Atlantic-Congo
2046,MULONGA_1,Africa,-15.78,22.62,NA,sie,NA,Atlantic-Congo
